hospital_name,city,county,state,zip_code,address,hospital_type,System,Beds,link_financial_assistance,financial_assistance_info,fap_link,policy_available,qualifying_incom_free_care,qualifying_incom_discounted_care,asset_test,provision_for_medical_bill,residency_restriction,reports_unpaid_bills,uses_third_party,sells_debt,sues_patients,garnishes_wages,restricts_care,
CALIFORNIA HOSPITAL MEDICAL CENTER ,LOS ANGELES,Los Angeles,CA,91733,1401 SOUTH GRAND AVENUE,Other not-for-profit,CommonSpirit Health,318,No,Yes,https://www.dignityhealth.org/content/dam/dignity-health/documents/legal/south-california/california-hospital-medical-center/fap/en_fap_california_hospital_medical_center.pdf,https://www.dignityhealth.org/content/dam/dignity-health/documents/legal/arizona/arizona-general-hospital-laveen/billing--collections/en_billing_and_collections_policy.pdf,Below 250% FPL,250-400% FPL,Yes,None specified,No,Yes,Yes,"Yes. Policy allows this, but not currently a practice of the hospital, according to Dan Loeterman","Not mentioned in policy, but not a practice of the hospital, according to Dan Loeterman","No, according to FAP California Addendum","Not mentioned in policy, but not a practice of the hospital, according to Dan Loeterman",
ADVENTIST HEALTH SIMI VALLEY ,SIMI VALLEY,Ventura,CA,93065,2975 N SYCAMORE DR,Other not-for-profit,Adventist Health,144,"Yes, bottom of page",Yes,https://www.adventisthealth.org/documents/financial-assistance/ENG_PFS-112_Financial-Assistance-Policy.pdf,Included in FAP,Below 200% FPL,200-400% FPL,Yes,"Yes, essential living expenses are 50% of household income and medical bills are greater than any qualifying assets",No,Yes,Yes,Yes,"Not mentioned in the Financial Assistance Policy but is a practice of collection agencies, according to Japhet De Oliveira","Not mentioned in the Financial Assistance Policy but is a practice of collection agencies, according to Japhet De Oliveira","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Japhet De Oliveira",
MARSHALL MEDICAL CENTER,PLACERVILLE,El Dorado,CA,95667,1100 MARSHALL WAY,Other not-for-profit,,105,Yes,Yes,https://www.marshallmedical.org/documents/content/Financial-Assistance-Program-with-attachemtns-eff.-02.01.2022.pdf,https://www.marshallmedical.org/images/Debt-Collection-Practice.2022.pdf,Below 149% FPL,"149-450% FPL
(sliding scale)","Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility. Assets will only be considered for free care, not discounted care","Yes, catastrophic adjustment; patient’s whose single visit bills exceed $50,000 will be reduced by 50% and high medical cost; bills exceed 10% of annual income",No,Yes,Yes,"No, not mentioned in the billing and collection policy, but not a practice of the hospital, according to Karen Dostart","Yes, according to FAP, but not a practice of the hospital, according to Karen Dostart.","No, according to FAP","No, not mentioned in the billing and collection policy, but not a practice of the hospital, according to Karen Dostart",
STANFORD HEALTH CARE - VALLEYCARE,PLEASANTON,Alameda,CA,94566,5555 WEST LAS POSITAS BOULEVARD,Other not-for-profit,Stanford Health Care,193,"Yes, under the menu","Yes, but not the first link",https://drive.google.com/file/d/1lWHP_UD1f9-RutDG2F479HA8DuDEuXlC/view?usp=sharing,https://drive.google.com/file/d/1-rbr0P1lHrd82k8ys9U0JmdKXuu6PFB4/view?usp=sharing,Below 400% FPL,"N/A 

We do not award partial/sliding scale charity, according to Julie Greicius.",No,"Yes, above 400% FPL and bills more than 10% annual income","No, but priority for charity care is given to patients that live close to the hospital",No,Yes,No,No,No,No,
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,LA JOLLA,San Diego,CA,92037,9888 GENESEE AVENUE,Other not-for-profit,Scripps Health,426,"Yes, bottom of page",Yes,https://www.scripps.org/sparkle-assets/documents/patient-accounts-financial-assistance-english-s-fw-ld-5406-06-19.pdf,https://www.scripps.org/sparkle-assets/documents/patient-account-management-billing-and-collections-english-s-fw-ld-5400-06-19.pdf,Below 200% FPL,200-400% FPL,"Information is collected but not used to determine eligibility, according to Jancie Collins","Yes, catastrophic medical event. Patients will not be charged more than 10% of their annual income, according to Janice Collins",No,"Not mentioned in the billing and collection policy and not a practice of the hospital but is a practice of the hospital's collection agencies, according to Janice Collins",Yes,"Not mentioned in the billing and collection policy but not a practice of the hospital, according to Janice Collins","Not mentioned in the billing and collection policy but not a practice of the hospital, according to Janice Collins","Not mentioned in the billing and collection policy but not a practice of the hospital, according to Janice Collins","Not mentioned in the billing and collection policy but not a practice of the hospital, according to Janice Collins",
TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE,Los Angeles,CA,90503,3330 LOMITA BLVD,Other not-for-profit,Cedars-Sinai Health System,436,No,Yes,https://www.torrancememorial.org/app/files/public/242e9477-bfc8-44cd-baf4-77230dbc6034/Billing%20Insurance/FAP_Eng_Add_B_2019.pdf,No,Below 200% FPL,200-450% FPL,"Yes, assets less than $10,000. The first $10,000 of a patient’s monetary assets are excluded. After the $10,000 threshold, then 50% of all monetary assets are excluded for consideration for financial assistance.   ","Yes, catastrophic medical event determined on a case by case basis. In general, bills exceeding $100,000 are eligible for assistance",No,No,Yes,No,"Not mentioned in the Financial Assistance Policy but is a practice of the hospital in very limited and rare situations, according to Erin Fiorito.","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Erin Fiorito.","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Erin Fiorito. ",
KAISER FOUNDATION HOSPITAL - SOUTH BAY,HARBOR CITY,Los Angeles,CA,90710,25825 SOUTH VERMONT AVENUE,Other not-for-profit,Kaiser Foundation Hospitals,257,No,Yes,https://about.kaiserpermanente.org/content/dam/internet/kp/comms/community-health/mfa-policy/mfa-policy_scal_2021-english.pdf,Included in FAP,,Up to 350% FPL,No,"Yes, bills exceed 10% of annual income",No,Yes,Yes,No,"Yes, but not typically","Yes, but not typically",No,
EDEN MEDICAL CENTER,CASTRO VALLEY,Alameda,CA,94546,20103 LAKE CHABOT ROAD,Other not-for-profit,Sutter Health,122,No,Yes,https://www.sutterhealth.org/pdf/financial-assistance-policy/hospital-financial-assistance-policy-english.pdf,https://www.sutterhealth.org/pdf/financial-assistance-policy/billing-and-collection-policy-english.pdf,Below 400% FPL (uninsured),"N/A, according to Angie Sheets.",No,"Yes, high medical cost -- below 400% FPL and bill exceeds 10% annual income (insured patients)",No,No,Yes,No,No,No,No,
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,GLENDORA,Los Angeles,CA,91741,250 S GRAND AVE,Other not-for-profit,Emanate Health,67,"Yes, bottom of page",Yes,https://res.cloudinary.com/dpmykpsih/image/upload/emanate-health-site-360/media/1850/a009-charity-care-2020-english.pdf,no,Below 350% FPL,350-500% FPL,"Yes, first $10,000 will not be counted, nor shall 50% of assets over the first $10,000 be used to determine eligibility.",None specified,No,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,
KAISER PERMANENTE ORANGE COUNTY ANAHEIM MEDICAL CENTER,ANAHEIM,Orange,CA,92805,3440 E LA PALMA AVE,Other not-for-profit,Kaiser Foundation Hospitals,478,No,Yes,https://about.kaiserpermanente.org/content/dam/internet/kp/comms/community-health/mfa-policy/mfa-policy_scal_2021-english.pdf,Included in FAP,,Up to 350% FPL,No,"Yes, bills exceed 10% of annual income",No,Yes,Yes,No,"Yes, but not typically","Yes, but not typically",No,
HENRY MAYO NEWHALL HOSPITAL,VALENCIA,Los Angeles,CA,91354,23845 MCBEAN PKWY,Other not-for-profit,,238,"Yes, under ""patietns & visitors"" tab",Yes,https://www.henrymayo.com/documents/FAP-Final.Replacement-with-new-hyper-links-010720-REVISED.pdf,Included in FAP,Below 200% FPL,200-350% FPL (sliding scale),"Yes, assets less than $250,000","Yes, catastrophic health care costs. Bills exceed 10% of annual income",No,"Yes (In certain circumstances, patients unwilling to pay their bills are reported to public rating agencies, according to Patrick Moody)",Yes,Yes,"Yes (In certain circumstances, according to Patrick Moody)","Liens: Yes

Wages: Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Patrick Moody","Not mentioned in the Financial Assistance Policy but not a practice of the hospital, according to Patrick Moody",
KAISER FOUNDATION HOSPITAL-SANTA ROSA,SANTA ROSA,Sonoma,CA,95403,401 BICENTENNIAL WAY,Other not-for-profit,Kaiser Foundation Hospitals,172,No,Yes,https://about.kaiserpermanente.org/content/dam/internet/kp/comms/community-health/mfa-policy/mfa-policy_ncal_2021-english.pdf,Included in FAP,,Up to 350% FPL,No,"Yes, bills exceed 10% of annual income",No,Yes,Yes,No,"Yes, but not typically","Yes, but not typically",No,
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,BALDWIN PARK,Los Angeles,CA,91706,1011 BALDWIN PARK BLVD,Other not-for-profit,Kaiser Foundation Hospitals,257,No,Yes,https://about.kaiserpermanente.org/content/dam/internet/kp/comms/community-health/mfa-policy/mfa-policy_scal_2021-english.pdf,Included in FAP,,Up to 350% FPL,No,"Yes, bills exceed 10% of annual income",No,Yes,Yes,No,"Yes, but not typically","Yes, but not typically",No,
CENTURA HEALTH-ST ANTHONY HOSPITAL,LAKEWOOD,Jefferson,CO,80226,11600 W 2ND PL,"Church operated, non-government, not-for-profit",CommonSpirit Health,237,No,Yes,https://centura.widen.net/s/6t7wwwsppl/financial-assistance-policy,No,Below 250% FPL,250-400% FPL,Yes,None specified,Yes (Centura's market service area),Yes,"Not mentioned in policy, but is a practice of the hospital, according to Dan Loeterman","Yes. Allowed by policy, but not a practice of the hospital, according to Dan Loeterman","Not mentioned in policy, but is not a practice of the hospital, according to Dan Loeterman","Not mentioned in policy, but is not a practice of the hospital, according to Dan Loeterman","Not mentioned in policy, but is not a practice of the hospital, according to Dan Loeterman",
PARKER ADVENTIST HOSPITAL,PARKER,Douglas,CO,80134,9395 CROWN CREST BLVD,"Church operated, non-government, not-for-profit",AdventHealth*,163,No,Yes,https://centura.widen.net/s/6t7wwwsppl/financial-assistance-policy,Not posted online,Below 250% FPL,250-400% FPL,Yes,"Yes, if charges exceed 25% income",Yes (Centura's market service area),Yes,"Yes, not mentioned in the financial assistance policy but is a practice of the hospital, according to Lindsay Radford","No, not mentioned in the financial assistance policy but not a practice of the hospital, according to Lindsay Radford","Yes, not mentioned in the financial assistance policy but is a practice of the hospital on a case by case basis, according to Lindsay Radford","No, not mentioned in the financial assistance policy but not a practice of the hospital, according to Lindsay Radford. We do not file property liens or bank garnishments but we will file employment garnishments, according to Lindsay Radford.","No, not mentioned in the financial assistance policy but not a practice of the hospital, according to Lindsay Radford",
SKY RIDGE MEDICAL CENTER,LONE TREE,Douglas,CO,80124,10101 RIDGEGATE PKWY,"Corporation, investor owned, for-profit",HCA Healthcare,274,No,No,,,"Emergency care for patients with income under 200% of FPL, according to HCA Patient Financial Support summary","Emergency care for patients 200-400% of FPL, according to HCA Patient Financial Support summary","No, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA charity care policy, but patient liability is capped at 4% of income, according to HCA spokesman Harlow Sumerford","No, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but is a policy of the hospital, according to HCA spokesman Harlow Sumerford","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford","No, according to HCA Patient Financial Support summary","No, according to HCA Patient Financial Support summary","Not mentioned in HCA Patient Financial Support summary, but not a policy of the hospital, according to HCA spokesman Harlow Sumerford",
SEDGWICK COUNTY MEMORIAL HOSPITAL,JULESBURG,Sedgwick,CO,80737,900 CEDAR ST,"County, government, non-federal",,67,No,No search tool,https://www.schealth.org/_files/ugd/054f96_8f90baed9f43448295109a13020e0d5e.pdf,No,Below 100% FPL,100-250% FPL,No,Yes,No,Yes,,Yes,Yes,,Yes,
HAXTUN HOSPITAL DISTRICT,HAXTUN,Phillips,CO,80731,235 W FLETCHER ST,"Hospital district or authority-government, non-federal",,25,"Yes, under ""patient and visitors"" tab",Yes,https://haxtunhealth.org/wp-content/uploads/2020/09/Financial_Assistance_Program_Sliding_Fee_Policy_May_20181.pdf,No,Below 125% FPL,125-250% FPL,"No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Joleen Stroyek","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Joleen Stroyek",No,,Yes,"No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Joleen Stroyek","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Joleen Stroyek","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Joleen Stroyek","No, not mentioned in the Financial Assistance Policy, but not a practice of the hospital, according to Joleen Stroyek",
MIDDLE PARK MEDICAL CENTER,KREMMLING,Grand,CO,80459,214 S 4TH ST,"Hospital district or authority-government, non-federal",,10,No,No search tool,,No,,,,,,,,,,,,
UCH-MEMORIAL HEALTH SYSTEM,COLORADO SPRINGS,El Paso,CO,80918,1400 E BOULDER ST,Other not-for-profit,UCHealth,512,No,Yes,https://uchealth-wp-uploads.s3.amazonaws.com/wp-content/uploads/2022/03/24124736/UCHealth-Fin-Assistance-Policy-Detailed-032422.pdf,Included in FAP,Below 250% FPL,250-400% FPL,Yes,"Yes, catastrophic balance financial assistance, bills exceed 50% annual income",No,"Yes, according to the FAP.

The hospital does not even though the policy allows it, according to Dan Weaver",Yes,"Not mentioned in the Financial Assistance Policy but is not a practice of the hospital, according to Dan Weaver",Yes,"Liens: Not mentioned in the Financial Assistance Policy but is not a practice of the hospital, according to Dan Weaver

Wages: Yes, according to FAP","Not mentioned in the Financial Assistance Policy but is not a practice of the hospital, according to Dan Weaver",
